alpha,cl,cd, 
0,0.00E+00,0.008672208, 
1,0.104437,0.008855305, 
2,0.21002,0.009413901, 
3,0.3256123,0.01028649, 
4,0.4624185,0.01129889, 
5,0.6191028,0.01245935, 
6,0.7741583,0.01374432, 
7,0.8519765,0.01499978, 
8,0.9128968,0.01669582, 
9,0.9722891,0.01840542, 
10,1.025499,0.02067643, 
11,1.072418,0.02347469, 
12,1.112453,0.02752264, 
13,1.154025,0.03201784, 
14,1.17439,0.03968459, 
15,1.187318,0.04849108, 
16,1.18271,0.0604044, 
17,1.158614,0.07641572, 
18,1.059991,0.1069495, 
19,0.733549,0.2166373, 
20,0.7436639,0.2349362, 
21,0.7808114,0.2454255, 
22,0.8112795,0.2620127, 
23,0.8328239,0.2751722, 
24,0.8687176,0.2852189, 
25,0.8970365,0.3034583, 
26,0.9205251,0.3167303, 
27,0.9496135,0.3302485, 
28,0.978622,0.3418783, 
29,1.006337,0.3596663, 
30,1.028579,0.3730328, 
31,1.054518,0.3880517, 
32,1.078307,0.4010977, 
33,1.100584,0.4135407, 
34,1.12056,0.4329338, 
35,1.139281,0.4463629, 
36,1.158261,0.4600351, 
37,1.177874,0.4755535, 
38,1.193267,0.4882609, 
39,1.206065,0.5007943, 
40,1.217411,0.5199881, 
41,1.228709,0.5341048, 
42,1.238819,0.5477949, 
43,1.24799,0.5614512, 
44,1.256563,0.5760257, 
45,1.262972,0.5904521, 
46,1.266133,0.6024033, 
47,1.266482,0.6130205, 
48,1.280901786,0.628972864, 
49,1.288183321,0.642487929, 
50,1.262741,0.6560485, 
51,1.290846808,0.669534605, 
52,1.296640896,0.683051738, 
53,1.302434984,0.696568871, 
54,1.308229071,0.710086004, 
55,1.231199,0.7176702,
56,1.290775483,0.734987645,
57,1.293179487,0.748252106,
58,1.295583491,0.761516566,
59,1.297987496,0.774781026,
60,1.156697,0.7666827,
61,1.248360672,0.793641672,
62,1.244076441,0.805975418,
63,1.239792211,0.818309164,
64,1.23550798,0.830642909,
65,1.055656,0.8138837,
66,1.172612426,0.846641334,
67,1.162630921,0.858091631,
68,1.152649415,0.869541928,
69,1.14266791,0.880992226,
70,0.9220668,0.840217,
71,1.048691722,0.887080265,
72,1.030526156,0.89676399,
73,1.01236059,0.906447714,
74,0.994195024,0.916131439,
75,0.7665192,0.8701661,
76,0.837679595,0.904226929,
77,0.799672927,0.908851228,
78,0.761666259,0.913475528,
79,0.72365959,0.918099827,
80,0.5930419,0.888878,
81,0.626349607,0.917871841,
82,0.586952121,0.921602935,
83,0.547554635,0.925334029,
84,0.508157149,0.929065124,
85,0.468759663,0.932796218,
86,0.429362177,0.936527312,
87,0.38996469,0.940258407,
88,0.350567204,0.943989501,
89,0.311169718,0.947720595,
90,0.271772232,0.95145169,
