Alpha,Cd, , 
0.1,0.02833304, , 
0.2,0.02848872, , 
0.3,0.02859523, , 
0.4,0.02866638, , 
0.5,0.02871338, , 
0.6,0.028748, , 
0.7,0.0287818, , 
0.8,0.02882546, , 
1.1,0.02968821, , 
1.2,0.02972988, , 
1.3,0.029727, , 
1.4,0.02969039, , 
1.5,0.0296351, , 
1.6,0.02956688, , 
1.7,0.02948385, , 
1.8,0.02942379, , 
2,0.0305478, , 
2.1,0.03049484, , 
2.2,0.03038056, , 
2.3,0.03020941, , 
2.4,0.02999691, , 
2.5,0.02977403, , 
2.6,0.02953413, , 
2.7,0.02926057, , 
2.9,0.03072985, , 
3,0.03051373, , 
3.1,0.03022853, , 
3.2,0.02989971, , 
3.3,0.02951989, , 
3.4,0.02905551, , 
3.5,0.02852673, , 
3.6,0.02798551, , 
3.7,0.0274451, , 
4,0.02866848, , 
4.1,0.02806744, , 
4.2,0.02744854, , 
4.3,0.02677605, , 
4.4,0.0260647, , 
4.5,0.02537328, , 
4.6,0.02466431, , 
4.8,0.0260282, , 
4.9,0.02538322, , 
5,0.0246765, , 
5.1,0.02390012, , 
5.2,0.02308996, , 
5.3,0.02269111, , 
5.4,0.02344447, , 
5.5,0.02319034, , 
5.6,0.02261175, , 
5.7,0.02195448, , 
5.8,0.02128353, , 
5.9,0.02177771, , 
6,0.02169834, , 
6.1,0.02130985, , 
6.2,0.02075589, , 
6.3,0.02099219, , 
6.4,0.02104539, , 
6.5,0.02081623, , 
6.6,0.0206249, , 
6.7,0.02085235, , 
6.8,0.02084554, , 
6.9,0.02067889, , 
7,0.02093845, , 
7.1,0.02101911, , 
7.2,0.02105496, , 
7.3,0.02129275, , 
7.4,0.02143113, , 
7.5,0.02164815, , 
7.6,0.02189451, , 
7.7,0.02214556, , 
7.8,0.02243913, , 
7.9,0.02274449, , 
8,0.02308876, , 
8.1,0.0234422, , 
8.2,0.02388191, , 
8.3,0.02425197, , 
8.4,0.02473862, , 
8.5,0.02521919, , 
8.6,0.02567722, , 
8.7,0.02626062, , 
8.8,0.02672122, , 
8.9,0.02724318, , 
9,0.02791322, , 
9.1,0.02836851, , 
9.2,0.02891211, , 
9.3,0.02961029, , 
9.4,0.03012668, , 
9.5,0.03065169, , 
9.6,0.03127318, , 
9.7,0.03199377, , 
9.8,0.03249236, , 
9.9,0.03303903, , 
10,0.03365812, , 
10.1,0.03449699, , 
10.2,0.0350055, , 
10.3,0.03555722, , 
10.4,0.03613433, , 
10.5,0.03676425, , 
10.6,0.03772496, , 
10.7,0.03826727, , 
10.8,0.03885512, , 
10.9,0.03945595, , 
11,0.0400593, , 
11.1,0.040701, , 
11.2,0.04180698, , 
11.3,0.04237698, , 
11.4,0.04299442, , 
11.5,0.04363031, , 
11.6,0.04426891, , 
11.7,0.04491479, , 
11.8,0.04559704, , 
11.9,0.04645112, , 
12,0.04777948, , 
12.1,0.04849136, , 
12.2,0.0492638, , 
12.3,0.05005993, , 
12.4,0.05084921, , 
12.5,0.0516103, , 
12.6,0.05233116, , 
12.7,0.05302202, , 
12.8,0.05374236, , 
12.9,0.05587153, , 
13,0.05658606, , 
13.1,0.0573922, , 
13.2,0.05828942, , 
13.3,0.05926475, , 
13.4,0.06031638, , 
13.5,0.06141343, , 
13.6,0.06253995, , 
13.7,0.06367556, , 
13.8,0.0648081, , 
13.9,0.06592659, , 
14,0.06703434, , 
14.1,0.06812162, , 
14.2,0.06919976, , 
14.3,0.07033293, , 
14.4,0.07174793, , 
14.5,0.07381003, , 
14.6,0.07639048, , 
14.7,0.07912163, , 
14.8,0.08099872, , 
14.9,0.08268792, , 
15,0.08448393, , 
15.1,0.08638536, , 
15.2,0.08837807, , 
15.3,0.09049073, , 
15.4,0.09270145, , 
15.5,0.09502552, , 
15.6,0.0974785, , 
15.7,0.1000604, , 
15.8,0.1028155, , 
15.9,0.1057176, , 
16,0.1088384, , 
16.1,0.112149, , 
16.2,0.1157386, , 
16.3,0.1195667, , 
16.4,0.1236821, , 
16.5,0.1282307, , 
16.6,0.133339, , 
16.7,0.1383618, , 
16.8,0.1442084, , 
16.9,0.2001288, , 
17,0.2031595, , 
17.1,0.2059473, , 
17.2,0.2085883, , 
17.3,0.2093847, , 
17.4,0.2317424, , 
17.5,0.2335385, , 
17.6,0.2352616, , 
17.7,0.2369294, , 
17.8,0.2385784, , 
17.9,0.2402726, , 
18,0.2421086, , 
18.1,0.244204, , 
18.2,0.2466031, , 
18.3,0.250567, , 
18.4,0.2573329, , 
18.5,0.2594397, , 
18.6,0.2613589, , 
18.7,0.262973, , 
18.8,0.2641219, , 
18.9,0.2645783, , 
19,0.2654749, , 
19.1,0.2672215, , 
19.2,0.268937, , 
19.3,0.270445, , 
19.4,0.2717169, , 
19.5,0.2729519, , 
19.6,0.2746197, , 
19.7,0.2766722, , 
19.8,0.2797154, , 
