Alpha,Cl, , 
0,0.2812613, , 
0.1,0.2901125, , 
0.2,0.3001453, , 
0.3,0.3135445, , 
0.4,0.3370082, , 
0.5,0.3747545, , 
0.6,0.4186282, , 
0.7,0.4397398, , 
0.8,0.4514551, , 
0.9,0.4637739, , 
1,0.4357395, , 
1.1,0.4403702, , 
1.2,0.4505065, , 
1.3,0.463179, , 
1.4,0.4772267, , 
1.5,0.4912008, , 
1.6,0.5057023, , 
1.7,0.5204006, , 
1.8,0.5352585, , 
1.9,0.5499875, , 
2,0.5500158, , 
2.1,0.5403372, , 
2.2,0.5476052, , 
2.3,0.5585077, , 
2.4,0.5714672, , 
2.5,0.585079, , 
2.6,0.5993045, , 
2.7,0.6141376, , 
2.8,0.6294423, , 
2.9,0.6450892, , 
3,0.6606426, , 
3.1,0.6757445, , 
3.2,0.6555284, , 
3.3,0.6624725, , 
3.4,0.6736664, , 
3.5,0.6862632, , 
3.6,0.6999618, , 
3.7,0.7146552, , 
3.8,0.7302073, , 
3.9,0.746136, , 
4,0.7621069, , 
4.1,0.7779893, , 
4.2,0.7938707, , 
4.3,0.7759394, , 
4.4,0.781729, , 
4.5,0.7913451, , 
4.6,0.8036174, , 
4.7,0.8178135, , 
4.8,0.8331382, , 
4.9,0.8491239, , 
5,0.8654609, , 
5.1,0.8823487, , 
5.2,0.8994587, , 
5.3,0.9037729, , 
5.4,0.8971514, , 
5.5,0.9023759, , 
5.6,0.9128113, , 
5.7,0.9259932, , 
5.8,0.9408172, , 
5.9,0.9568735, , 
6,0.9743395, , 
6.1,0.9924371, , 
6.2,1.010549, , 
6.3,1.01347, , 
6.4,1.010124, , 
6.5,1.015928, , 
6.6,1.026707, , 
6.7,1.040997, , 
6.8,1.057547, , 
6.9,1.075272, , 
7,1.09329, , 
7.1,1.111261, , 
7.2,1.107901, , 
7.3,1.109755, , 
7.4,1.117755, , 
7.5,1.130157, , 
7.6,1.145335, , 
7.7,1.162217, , 
7.8,1.180085, , 
7.9,1.190358, , 
8,1.190539, , 
8.1,1.195599, , 
8.2,1.205155, , 
8.3,1.21819, , 
8.4,1.233463, , 
8.5,1.252079, , 
8.6,1.255999, , 
8.7,1.258052, , 
8.8,1.264165, , 
8.9,1.274108, , 
9,1.286724, , 
9.1,1.305438, , 
9.2,1.307184, , 
9.3,1.309167, , 
9.4,1.314596, , 
9.5,1.323012, , 
9.6,1.336927, , 
9.7,1.345782, , 
9.8,1.345505, , 
9.9,1.347962, , 
10,1.352847, , 
10.1,1.363046, , 
10.2,1.370849, , 
10.3,1.368735, , 
10.4,1.368725, , 
10.5,1.370221, , 
10.6,1.377119, , 
10.7,1.380578, , 
10.8,1.376438, , 
10.9,1.374389, , 
11,1.374857, , 
11.1,1.380392, , 
11.2,1.378747, , 
11.3,1.375311, , 
11.4,1.373396, , 
11.5,1.373751, , 
11.6,1.375874, , 
11.7,1.372101, , 
11.8,1.369518, , 
11.9,1.36808, , 
12,1.369993, , 
12.1,1.366032, , 
12.2,1.3631, , 
12.3,1.360716, , 
12.4,1.359709, , 
12.5,1.358024, , 
12.6,1.35498, , 
12.7,1.352238, , 
12.8,1.350173, , 
12.9,1.350143, , 
13,1.347228, , 
13.1,1.344618, , 
13.2,1.342285, , 
13.3,1.341465, , 
13.4,1.340952, , 
13.5,1.337586, , 
13.6,1.334393, , 
13.7,1.331204, , 
13.8,1.329136, , 
13.9,1.327741, , 
14,1.323581, , 
14.1,1.319762, , 
14.2,1.315817, , 
14.3,1.311853, , 
14.4,1.310222, , 
14.5,1.305648, , 
14.6,1.301781, , 
14.7,1.297919, , 
14.8,1.293728, , 
14.9,1.290057, , 
15,1.288253, , 
15.1,1.284648, , 
15.2,1.281289, , 
15.3,1.277803, , 
15.4,1.274396, , 
15.5,1.271092, , 
15.6,1.270557, , 
15.7,1.266823, , 
15.8,1.263169, , 
15.9,1.259367, , 
16,1.255594, , 
16.1,1.251836, , 
16.2,1.251198, , 
16.3,1.246969, , 
16.4,1.24334, , 
16.5,1.240145, , 
16.6,1.237538, , 
16.7,1.235456, , 
16.8,1.233638, , 
16.9,1.234279, , 
17,1.236187, , 
17.1,1.233949, , 
17.2,1.231822, , 
17.3,1.229671, , 
17.4,1.227094, , 
17.5,1.224127, , 
17.6,1.220955, , 
17.7,1.217551, , 
17.8,1.213821, , 
17.9,1.209509, , 
18,1.204284, , 
18.1,1.198656, , 
18.2,1.192648, , 
18.3,1.185971, , 
18.4,1.178106, , 
18.5,1.169709, , 
18.6,1.160552, , 
18.7,1.149742, , 
18.8,1.138178, , 
18.9,1.124496, , 
19,1.109208, , 
19.1,1.090764, , 
19.2,1.06906, , 
19.3,1.045649, , 
19.4,1.025474, , 
19.5,1.011207, , 
19.6,1.001812, , 
19.8,0.9875429, , 
19.9,0.9550569, , 
20,0.955195, , 
